Fifth Harmony,Work from Home (feat. Ty Dolla $ign),2016,Dance Pop,214
Fifth Harmony,Angel,2017,Dance Pop,189
Flo Rida,Club Can't Handle Me (feat. David Guetta),2010,Dance Pop,235
Flo Rida,My House,2015,Dance Pop,192
Florence + The Machine,Dog Days Are Over,2010,Art Pop,253
Florence + The Machine,St Jude,2015,Art Pop,225
Florence + The Machine,Wish That You Were Here - From 揗iss Peregrine抯 Home for Peculiar Children?Original Motion Picture,2016,Art Pop,403
fun.,Some Nights,2012,Baroque Pop,277
fun.,We Are Young (feat. Janelle Mon醗),2012,Baroque Pop,251
G-Eazy,Him & I (with Halsey),2018,Hip Hop,269
Galantis,Rich Boy,2017,Big Room,184
Gwen Stefani,Baby Don't Lie,2015,Dance Pop,203
Gwen Stefani,Spark The Fire,2015,Dance Pop,202
Gwen Stefani,Make Me Like You,2016,Dance Pop,217
Gym Class Heroes,Stereo Hearts (feat. Adam Levine),2012,Dance Pop,211
Hailee Steinfeld,Starving,2016,Dance Pop,182
Hailee Steinfeld,Capital Letters,2018,Dance Pop,219
Halsey,Bad At Love,2018,Dance Pop,181
Harry Styles,Sign of the Times,2018,Dance Pop,341
Hayley Kiyoko,What I Need (feat. Kehlani),2018,Dance Pop,220
Hilary Duff,Sparks,2015,Dance Pop,186
Hilary Duff,Little Lies,2016,Dance Pop,204
Hot Chelle Rae,Tonight Tonight,2011,Dance Pop,200
Hozier,Take Me To Church,2015,Irish Singer-Songwriter,242
Icona Pop,I Love It (feat. Charli XCX),2013,Candy Pop,157
Iggy Azalea,Fancy,2014,Australian Hip Hop,200
J Balvin,Mi Gente (feat. Beyonc?,2018,Latin,210
James Arthur,Impossible,2013,Pop,209
Janet Jackson,BURNITUP!,2016,Dance Pop,250
Jason Derulo,Talk Dirty (feat. 2 Chainz),2014,Dance Pop,178
Jason Derulo,Wiggle (feat. Snoop Dogg),2014,Dance Pop,193
Jason Derulo,Want to Want Me,2015,Dance Pop,208
Jason Derulo,Trumpets,2015,Dance Pop,217
Jennifer Hudson,Dangerous,2015,Dance Pop,255
Jennifer Lopez,On The Floor,2011,Dance Pop,285
Jennifer Lopez,I'm Into You,2011,Dance Pop,200
Jennifer Lopez,Papi,2011,Dance Pop,223
Jennifer Lopez,Invading My Mind,2011,Dance Pop,201
Jennifer Lopez,Dance Again,2012,Dance Pop,237
Jennifer Lopez,Live It Up,2013,Dance Pop,244
Jennifer Lopez,I Luh Ya Papi,2014,Dance Pop,207
Jennifer Lopez,Booty,2015,Dance Pop,210
Jennifer Lopez,"Feel The Light - From The ""Home"" Soundtrack",2015,Dance Pop,292
Jennifer Lopez,Ain't Your Mama,2016,Dance Pop,218
Jess Glynne,Don't Be so Hard on Yourself,2015,Dance Pop,211
Jessie J,Price Tag,2011,Australian Pop,223
Jessie J,Domino,2012,Australian Pop,232
Jessie J,Bang Bang,2015,Australian Pop,199
Jewel,Foolish Games,2013,Alaska Indie,250
Joey Montana,Picky - Remix,2016,Latin,225
John Legend,All of Me,2014,Neo Mellow,270
John Legend,Start,2016,Neo Mellow,310
John Newman,Love Me Again,2014,Pop,240
Jonas Blue,Mama,2017,Dance Pop,184
Jonas Brothers,Pom Poms,2013,Boy Band,198
Jonas Brothers,Only Human,2019,Boy Band,183
Jonas Brothers,Sucker,2019,Boy Band,181
Justin Bieber,Baby,2010,Canadian Pop,214
Justin Bieber,Beauty And A Beat,2012,Canadian Pop,228
Justin Bieber,Boyfriend,2012,Canadian Pop,171
Justin Bieber,Heartbreaker,2013,Canadian Pop,263
Justin Bieber,Love Yourself,2015,Canadian Pop,234
Justin Bieber,Sorry,2015,Canadian Pop,201
Justin Bieber,What Do You Mean?,2015,Canadian Pop,206
Justin Bieber,Company,2015,Canadian Pop,208
Justin Bieber,I'll Show You,2015,Canadian Pop,200
Justin Bieber,The Feeling,2015,Canadian Pop,245
Justin Bieber,What Do You Mean? - Acoustic,2015,Canadian Pop,204
Justin Bieber,Mark My Words,2015,Canadian Pop,134
Justin Bieber,Been You,2015,Canadian Pop,199
Justin Bieber,Love Yourself,2016,Canadian Pop,234
Justin Bieber,Company,2016,Canadian Pop,208
Justin Bieber,Friends (with BloodPop?,2018,Canadian Pop,189
Justin Timberlake,Suit & Tie,2013,Dance Pop,326
Justin Timberlake,Mirrors - Radio Edit,2013,Dance Pop,277
Justin Timberlake,TKO,2013,Dance Pop,424
Justin Timberlake,Take Back the Night,2013,Dance Pop,353
Justin Timberlake,Not a Bad Thing,2014,Dance Pop,266
Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",2016,Dance Pop,236
Justin Timberlake,Say Something,2018,Dance Pop,279
Justin Timberlake,Filthy,2018,Dance Pop,294
Justin Timberlake,Supplies,2018,Dance Pop,226
Kanye West,Monster,2011,Chicago Rap,379
Katy Perry,Teenage Dream,2010,Dance Pop,228
Katy Perry,California Gurls,2010,Dance Pop,235
Katy Perry,E.T.,2011,Dance Pop,230
Katy Perry,Last Friday Night (T.G.I.F.),2011,Dance Pop,231
Katy Perry,Firework,2011,Dance Pop,228
Katy Perry,Part Of Me,2012,Dance Pop,216
Katy Perry,Wide Awake,2012,Dance Pop,221
Katy Perry,The One That Got Away,2012,Dance Pop,227
Katy Perry,Roar,2013,Dance Pop,224
Katy Perry,Dark Horse,2014,Dance Pop,216
